iter	Logloss
0	0.5456659915
1	0.4548609654
2	0.4463215332
3	0.4460678736
4	0.4400307181
5	0.4376604679
6	0.4187611366
7	0.4105370794
8	0.3982386571
9	0.389289816
10	0.3855742676
11	0.3822135892
12	0.3822135752
13	0.3822135568
14	0.3719061349
15	0.3672325594
16	0.3567611821
17	0.3513358785
18	0.3446355907
19	0.3335511373
20	0.3302036613
21	0.3291510311
22	0.3235861018
23	0.3198864105
24	0.3170050618
25	0.3157890599
26	0.3141363367
27	0.3114164342
28	0.3077207873
29	0.3066298583
30	0.3054631785
31	0.3050114754
32	0.3040164047
33	0.3029729343
34	0.3024711799
35	0.3009927346
36	0.3006943651
37	0.3001500986
38	0.2989957135
39	0.2984321625
40	0.2983874396
41	0.2978402725
42	0.2975627811
43	0.2971757782
44	0.2970363805
45	0.2968163895
46	0.2964731295
47	0.2962249134
48	0.2961052167
49	0.2958423499
50	0.2957968636
51	0.2957250261
52	0.295627299
53	0.295619517
54	0.2954197621
55	0.2952650822
56	0.2951661983
57	0.2948129721
58	0.2947187893
59	0.2945091425
60	0.2943060129
61	0.2941903607
62	0.2940924617
63	0.2938826154
64	0.2938020427
65	0.2937694144
66	0.2936723844
67	0.2936167793
68	0.2934931818
69	0.2933251639
70	0.2932304777
71	0.2931280518
72	0.2930548831
73	0.29303332
74	0.2929910717
75	0.2929278542
76	0.2928968048
77	0.2928909534
78	0.2928589323
79	0.2928448754
80	0.2927612891
81	0.2927489259
82	0.2927252063
83	0.2927104396
84	0.2926413055
85	0.2925225471
86	0.2924656913
87	0.2923930088
88	0.2922758393
89	0.292243273
90	0.292155418
91	0.2920995341
92	0.2920257766
93	0.2919756953
94	0.2919333158
95	0.2918805165
96	0.2918315327
97	0.291817681
98	0.2917680503
99	0.2917380904
100	0.2916733537
101	0.2915889374
102	0.2915464193
103	0.2915162263
104	0.2914869788
105	0.2914676171
106	0.2914296511
107	0.291379278
108	0.2913401856
109	0.2913131658
110	0.291280844
111	0.2912590965
112	0.2912430112
113	0.2912171393
114	0.2911662867
115	0.2911234584
116	0.2911059294
117	0.2910869486
118	0.2910657039
119	0.2910595513
120	0.2910344056
121	0.2909972373
122	0.2909620566
123	0.2909455546
124	0.2909103291
125	0.290886339
126	0.2908744655
127	0.2908388751
128	0.2908086772
129	0.290790399
130	0.2907550543
131	0.2907550798
132	0.2907543345
133	0.2907543345
134	0.2907394921
135	0.2907226337
136	0.2906905917
137	0.2906900542
138	0.2906902851
139	0.2906836966
140	0.2906840446
141	0.2906678933
142	0.2906674498
143	0.290653567
144	0.2906310517
145	0.2906198941
146	0.2906172712
147	0.2906043813
148	0.2905917504
149	0.2905621217
150	0.2905334238
151	0.2905232344
152	0.2905081597
153	0.2905080572
154	0.2904823402
155	0.2904641
156	0.2904450097
157	0.2904246004
158	0.2903998263
159	0.2903900204
160	0.2903726009
161	0.2903617877
162	0.2903487805
163	0.2903381566
164	0.2903276867
165	0.2903112484
166	0.2902786873
167	0.2902705904
168	0.2902528394
169	0.2902528754
170	0.2902525289
171	0.2902445589
172	0.2902359293
173	0.2902198845
174	0.2902197369
175	0.2901993756
176	0.2901809885
177	0.2901715255
178	0.2901665439
179	0.2901502229
180	0.290137518
181	0.2901201959
182	0.2901204325
183	0.2901199936
184	0.290116286
185	0.2901042305
186	0.2901030133
187	0.2901024834
188	0.2900983588
189	0.290097711
190	0.2900896117
191	0.2900784603
192	0.2900700309
193	0.290060476
194	0.2900505867
195	0.2900424411
196	0.2900348025
197	0.2900348025
198	0.2900348025
199	0.2900352269
200	0.2900311614
201	0.2900304929
202	0.2900193063
203	0.2900032291
204	0.2900033977
205	0.290003519
206	0.2899980299
207	0.2899962448
208	0.2899962448
209	0.2899962858
210	0.2899962858
211	0.2899964839
212	0.2899969306
213	0.2899884758
214	0.2899889811
215	0.2899732733
216	0.2899651134
217	0.2899606912
218	0.2899548188
219	0.2899502121
220	0.2899393383
221	0.2899366404
222	0.2899366359
223	0.2899362997
224	0.2899331262
225	0.2899255652
226	0.2899184512
227	0.2899181163
228	0.2899167968
229	0.2899125145
230	0.2899106307
231	0.2899051895
232	0.2898935421
233	0.2898864904
234	0.2898829038
235	0.2898813002
236	0.2898755238
237	0.2898676123
