iter	Passed	Remaining
0	1	895
1	1	673
2	1	519
3	2	427
4	2	382
5	2	353
6	3	358
7	3	356
8	4	402
9	4	391
10	5	376
11	5	376
12	5	358
13	5	345
14	6	348
15	6	345
16	7	349
17	7	357
18	8	353
19	8	353
20	9	348
21	11	416
22	12	432
23	13	437
24	13	429
25	14	441
26	15	453
27	15	446
28	16	442
29	16	435
30	16	429
31	16	423
32	17	418
33	17	413
34	18	428
35	19	423
36	19	418
37	19	413
38	20	409
39	20	405
40	20	400
41	21	397
42	21	393
43	21	389
44	22	385
45	22	381
46	22	378
47	23	375
48	23	371
49	23	368
50	23	365
51	24	363
52	24	360
53	24	356
54	25	354
55	25	351
56	25	351
57	26	350
58	26	348
59	27	347
60	28	355
61	28	354
62	29	353
63	29	351
64	29	350
65	30	349
66	30	347
67	30	346
68	31	344
69	31	342
70	31	341
71	32	339
72	32	337
73	33	337
74	33	335
75	33	335
76	34	333
77	34	331
78	34	330
79	35	328
80	35	327
81	35	325
82	36	324
83	36	322
84	36	320
85	36	319
86	37	317
87	37	316
88	37	314
89	38	313
90	38	312
91	38	311
92	39	309
93	39	308
94	39	306
95	39	305
96	40	304
97	40	303
98	41	303
99	41	303
100	42	303
101	42	302
102	42	301
103	43	300
104	43	300
105	43	299
106	44	297
107	44	296
108	44	295
109	45	294
110	45	293
111	45	292
112	45	291
113	46	291
114	46	290
115	47	289
116	47	288
117	47	287
118	48	286
119	48	285
120	48	284
121	48	283
122	49	282
123	49	282
124	49	281
125	50	280
126	50	279
127	50	278
128	51	277
129	51	276
130	51	275
131	51	274
132	52	273
133	52	272
134	52	271
135	53	270
136	53	269
137	53	268
138	53	267
139	54	266
140	54	266
141	54	265
142	55	264
143	55	264
144	55	263
145	56	262
146	56	261
147	56	260
148	56	260
149	57	259
150	57	258
151	57	257
152	58	257
153	58	255
154	58	255
155	58	254
156	59	253
157	59	252
158	59	252
159	60	251
160	60	252
161	61	251
162	61	251
163	61	250
164	62	249
165	62	249
166	62	248
167	62	247
168	63	247
169	63	246
170	63	245
171	64	245
172	64	244
173	64	244
174	65	244
175	65	243
176	65	242
177	66	242
178	66	241
179	66	240
180	67	240
181	67	239
182	67	238
183	67	238
184	68	237
185	68	236
186	68	236
187	68	235
188	69	234
189	69	234
190	69	233
191	70	233
192	70	232
193	70	231
194	71	231
195	71	231
196	71	231
197	72	230
198	72	229
199	72	229
200	73	229
201	73	228
202	73	228
203	74	227
204	74	226
205	74	226
206	74	225
207	75	224
208	75	224
209	75	223
210	76	223
211	76	222
212	76	221
213	76	221
214	77	220
215	77	220
216	77	219
217	77	218
218	78	218
219	78	217
220	78	217
221	79	216
222	79	215
223	79	215
224	79	214
225	80	214
226	80	213
227	81	214
228	81	213
229	81	213
230	82	213
231	82	213
232	82	212
233	83	212
234	83	211
235	84	211
236	84	211
237	84	210
238	84	210
239	85	209
240	85	208
241	85	208
242	86	207
243	86	207
244	86	207
245	86	206
246	87	206
247	87	206
248	88	205
249	88	205
250	88	204
251	88	203
252	89	203
253	89	202
254	89	202
255	90	202
256	90	202
257	91	202
258	91	202
259	92	201
260	92	201
261	92	200
262	92	200
263	93	199
264	93	199
265	93	198
266	93	198
267	94	197
268	94	197
269	94	196
270	95	196
271	95	195
272	95	195
273	95	194
274	96	194
275	96	193
276	96	192
277	96	192
278	97	191
279	97	191
280	97	190
281	98	190
282	98	189
283	98	189
284	98	189
285	99	188
286	99	188
287	99	187
288	99	187
289	100	186
290	100	186
291	100	185
292	101	185
293	101	185
294	101	184
295	102	184
296	102	183
297	102	183
298	103	183
299	103	182
300	103	182
301	104	182
302	104	181
303	104	181
304	105	180
305	105	180
306	105	180
307	106	179
308	106	179
309	106	179
310	107	178
311	107	178
312	107	177
313	108	177
314	108	177
315	108	177
316	109	176
317	109	176
318	109	175
319	110	175
320	110	174
321	110	174
322	110	174
323	111	173
324	112	174
325	112	173
326	112	173
327	113	173
328	113	172
329	113	172
330	114	172
331	114	171
332	114	171
333	115	170
334	115	170
335	115	169
336	115	169
337	116	169
338	116	168
339	116	168
340	117	167
341	117	167
342	117	166
343	117	166
344	118	166
345	118	165
346	118	165
347	118	164
348	119	164
349	119	163
350	119	163
351	120	163
352	120	162
353	120	162
354	120	161
355	121	161
356	121	160
357	122	161
358	122	160
359	122	160
360	123	160
361	123	159
362	123	159
363	124	158
364	124	158
365	124	157
366	124	157
367	125	156
368	125	156
369	125	156
370	125	155
371	126	155
372	126	154
373	126	154
374	127	154
375	127	153
376	127	153
377	128	153
378	128	152
379	128	152
380	129	152
381	129	151
382	129	151
383	130	151
384	130	151
385	131	151
386	131	150
387	131	150
388	132	150
389	132	149
390	133	149
391	133	149
392	133	148
393	134	148
394	134	148
395	134	147
396	135	147
397	136	147
398	136	147
399	136	147
400	137	146
401	137	146
402	137	145
403	137	145
404	138	145
405	138	144
406	138	144
407	139	143
408	139	143
409	139	143
410	140	142
411	140	142
412	140	141
413	140	141
414	141	141
415	141	141
416	142	140
417	142	140
418	142	140
419	143	140
420	143	139
421	144	139
422	144	139
423	144	138
424	145	138
425	145	137
426	145	137
427	146	137
428	146	136
429	146	136
430	146	136
431	147	135
432	147	135
433	147	134
434	148	134
435	148	134
436	148	133
437	149	133
438	149	133
439	149	132
440	150	132
441	150	131
442	150	131
443	150	131
444	151	130
445	151	130
446	151	130
447	152	129
448	152	129
449	152	128
450	153	128
451	153	128
452	153	127
453	153	127
454	154	127
455	154	126
456	154	126
457	155	125
458	155	125
459	155	125
460	155	124
461	156	124
462	156	124
463	157	124
464	157	123
465	157	123
466	158	122
467	158	122
468	158	122
469	158	121
470	159	121
471	159	120
472	159	120
473	160	120
474	160	120
475	161	120
476	161	119
477	162	119
478	162	119
479	162	118
480	163	118
481	163	118
482	163	117
483	164	117
484	164	116
485	164	116
486	165	116
487	165	116
488	166	115
489	166	115
490	166	115
491	167	114
492	167	114
493	167	114
494	167	113
495	168	113
496	168	112
497	168	112
498	169	112
499	169	111
500	169	111
501	169	110
502	170	110
503	170	110
504	170	109
505	170	109
506	171	109
507	171	108
508	171	108
509	172	107
510	172	107
511	172	107
512	172	106
513	173	106
514	173	106
515	173	105
516	174	105
517	174	105
518	174	104
519	175	104
520	175	104
521	175	103
522	176	103
523	176	102
524	176	102
525	176	102
526	177	101
